Ada Ackerman;Le récit à l'épreuve du drone;ada_ackerman
Pierre Depaz;A Litterature of Patterns: Writing with GPT-3;pierre_depaz
Stephen Cave et Kanta Dihal;Imagining AI: How the World Sees Intelligent Machines;stephen_cave_et_kanta_dihal
Mélanie Dulong de Rosnay et Andres Guadamuz;Creative works generated by AI: Copyright and Copyleft;mélanie_dulong_de_rosnay_et_andres_guadamuz
Eto Koichiro;The Function of Fiction in the Development of Information Technology;eto_koichiro
David Gruson;Écrire une dystopie sur l'IA: le cas SARRA.;david_gruson
Nevena Ivanova;How does AI rewrite concepts such as creativity and authorship?;nevena_ivanova
Kevin LaGrandeur;Early warnings: Renaissance proto-androids and Social Dangers;kevin_lagrandeur
Lionel Obadia;Approches anthropologiques des imaginaires de l’IA;lionel_obadia
Carlos Tello;Augmenter la machine/réduire l'humain ? Représentations cinématographiques de l'IA;carlos_tello
Alexandre Gefen;Remarques Introductives;alexandre_gefen